ID,area_cd,area_nm,signgu_cd,signgu_nm,full_region_nm,area_nm_normalized,signgu_nm_normalized,full_region_nm_normalized,usage_note
region_26_26500,26,부산광역시,26500,수영구,부산광역시 수영구,부산광역시,수영구,부산광역시수영구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26530,26,부산광역시,26530,사상구,부산광역시 사상구,부산광역시,사상구,부산광역시사상구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_26_26710,26,부산광역시,26710,기장군,부산광역시 기장군,부산광역시,기장군,부산광역시기장군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27110,27,대구광역시,27110,중구,대구광역시 중구,대구광역시,중구,대구광역시중구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27140,27,대구광역시,27140,동구,대구광역시 동구,대구광역시,동구,대구광역시동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27170,27,대구광역시,27170,서구,대구광역시 서구,대구광역시,서구,대구광역시서구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27200,27,대구광역시,27200,남구,대구광역시 남구,대구광역시,남구,대구광역시남구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27230,27,대구광역시,27230,북구,대구광역시 북구,대구광역시,북구,대구광역시북구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27260,27,대구광역시,27260,수성구,대구광역시 수성구,대구광역시,수성구,대구광역시수성구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27290,27,대구광역시,27290,달서구,대구광역시 달서구,대구광역시,달서구,대구광역시달서구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27710,27,대구광역시,27710,달성군,대구광역시 달성군,대구광역시,달성군,대구광역시달성군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_27_27720,27,대구광역시,27720,군위군,대구광역시 군위군,대구광역시,군위군,대구광역시군위군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28110,28,인천광역시,28110,중구,인천광역시 중구,인천광역시,중구,인천광역시중구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28140,28,인천광역시,28140,동구,인천광역시 동구,인천광역시,동구,인천광역시동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28177,28,인천광역시,28177,미추홀구,인천광역시 미추홀구,인천광역시,미추홀구,인천광역시미추홀구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28185,28,인천광역시,28185,연수구,인천광역시 연수구,인천광역시,연수구,인천광역시연수구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28200,28,인천광역시,28200,남동구,인천광역시 남동구,인천광역시,남동구,인천광역시남동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28237,28,인천광역시,28237,부평구,인천광역시 부평구,인천광역시,부평구,인천광역시부평구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28245,28,인천광역시,28245,계양구,인천광역시 계양구,인천광역시,계양구,인천광역시계양구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28260,28,인천광역시,28260,서구,인천광역시 서구,인천광역시,서구,인천광역시서구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28710,28,인천광역시,28710,강화군,인천광역시 강화군,인천광역시,강화군,인천광역시강화군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_28_28720,28,인천광역시,28720,옹진군,인천광역시 옹진군,인천광역시,옹진군,인천광역시옹진군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_29_29110,29,광주광역시,29110,동구,광주광역시 동구,광주광역시,동구,광주광역시동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_29_29140,29,광주광역시,29140,서구,광주광역시 서구,광주광역시,서구,광주광역시서구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_29_29155,29,광주광역시,29155,남구,광주광역시 남구,광주광역시,남구,광주광역시남구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_29_29170,29,광주광역시,29170,북구,광주광역시 북구,광주광역시,북구,광주광역시북구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_29_29200,29,광주광역시,29200,광산구,광주광역시 광산구,광주광역시,광산구,광주광역시광산구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_30_30110,30,대전광역시,30110,동구,대전광역시 동구,대전광역시,동구,대전광역시동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_30_30140,30,대전광역시,30140,중구,대전광역시 중구,대전광역시,중구,대전광역시중구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_30_30170,30,대전광역시,30170,서구,대전광역시 서구,대전광역시,서구,대전광역시서구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_30_30200,30,대전광역시,30200,유성구,대전광역시 유성구,대전광역시,유성구,대전광역시유성구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_30_30230,30,대전광역시,30230,대덕구,대전광역시 대덕구,대전광역시,대덕구,대전광역시대덕구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_31_31110,31,울산광역시,31110,중구,울산광역시 중구,울산광역시,중구,울산광역시중구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_31_31140,31,울산광역시,31140,남구,울산광역시 남구,울산광역시,남구,울산광역시남구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_31_31170,31,울산광역시,31170,동구,울산광역시 동구,울산광역시,동구,울산광역시동구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_31_31200,31,울산광역시,31200,북구,울산광역시 북구,울산광역시,북구,울산광역시북구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_31_31710,31,울산광역시,31710,울주군,울산광역시 울주군,울산광역시,울주군,울산광역시울주군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_36_36110,36,세종특별자치시,36110,세종특별자치시,세종특별자치시 세종특별자치시,세종특별자치시,세종특별자치시,세종특별자치시세종특별자치시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41111,41,경기도,41111,수원시 장안구,경기도 수원시 장안구,경기도,수원시장안구,경기도수원시장안구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41113,41,경기도,41113,수원시 권선구,경기도 수원시 권선구,경기도,수원시권선구,경기도수원시권선구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41115,41,경기도,41115,수원시 팔달구,경기도 수원시 팔달구,경기도,수원시팔달구,경기도수원시팔달구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41117,41,경기도,41117,수원시 영통구,경기도 수원시 영통구,경기도,수원시영통구,경기도수원시영통구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41131,41,경기도,41131,성남시 수정구,경기도 성남시 수정구,경기도,성남시수정구,경기도성남시수정구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41133,41,경기도,41133,성남시 중원구,경기도 성남시 중원구,경기도,성남시중원구,경기도성남시중원구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41135,41,경기도,41135,성남시 분당구,경기도 성남시 분당구,경기도,성남시분당구,경기도성남시분당구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41150,41,경기도,41150,의정부시,경기도 의정부시,경기도,의정부시,경기도의정부시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41171,41,경기도,41171,안양시 만안구,경기도 안양시 만안구,경기도,안양시만안구,경기도안양시만안구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41173,41,경기도,41173,안양시 동안구,경기도 안양시 동안구,경기도,안양시동안구,경기도안양시동안구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41192,41,경기도,41192,부천시 원미구,경기도 부천시 원미구,경기도,부천시원미구,경기도부천시원미구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41194,41,경기도,41194,부천시 소사구,경기도 부천시 소사구,경기도,부천시소사구,경기도부천시소사구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41196,41,경기도,41196,부천시 오정구,경기도 부천시 오정구,경기도,부천시오정구,경기도부천시오정구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41210,41,경기도,41210,광명시,경기도 광명시,경기도,광명시,경기도광명시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41220,41,경기도,41220,평택시,경기도 평택시,경기도,평택시,경기도평택시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41250,41,경기도,41250,동두천시,경기도 동두천시,경기도,동두천시,경기도동두천시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41271,41,경기도,41271,안산시 상록구,경기도 안산시 상록구,경기도,안산시상록구,경기도안산시상록구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41273,41,경기도,41273,안산시 단원구,경기도 안산시 단원구,경기도,안산시단원구,경기도안산시단원구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
